Date,Time,Open,High,Low,Close,Volume
12/01/2024,17:00:00,20995.25,21004.0,20960.25,20978.75,2915
12/01/2024,17:15:00,20978.5,20987.75,20969.25,20971.0,898
12/01/2024,17:30:00,20971.5,20972.25,20952.5,20960.5,1476
12/01/2024,17:45:00,20960.75,20971.5,20958.25,20964.5,1152
12/01/2024,18:00:00,20966.0,20983.0,20966.0,20971.5,1229
12/01/2024,18:15:00,20971.0,20982.75,20962.25,20970.25,1079
12/01/2024,18:30:00,20971.25,20972.75,20946.5,20947.75,1565
12/01/2024,18:45:00,20948.75,20964.75,20941.75,20956.5,1291
12/01/2024,19:00:00,20956.75,20971.0,20949.75,20966.75,1141
12/01/2024,19:15:00,20965.75,20966.75,20953.25,20961.25,688
12/01/2024,19:30:00,20962.0,20974.5,20962.0,20968.0,879
12/01/2024,19:45:00,20969.0,20970.5,20954.5,20957.5,874
12/01/2024,20:00:00,20957.0,20959.25,20948.0,20952.5,1189
12/01/2024,20:15:00,20952.25,20961.75,20951.25,20957.25,682
12/01/2024,20:30:00,20957.25,20959.0,20951.25,20954.75,494
12/01/2024,20:45:00,20955.0,20959.75,20951.5,20953.75,399
12/01/2024,21:00:00,20953.75,20958.0,20950.25,20954.25,433
12/01/2024,21:15:00,20954.0,20963.5,20952.0,20962.0,616
12/01/2024,21:30:00,20961.75,20964.75,20957.0,20961.0,709
12/01/2024,21:45:00,20961.5,20961.75,20945.5,20950.0,864
12/01/2024,22:00:00,20949.5,20959.75,20946.75,20949.25,723
12/01/2024,22:15:00,20949.5,20955.75,20947.5,20954.0,549
12/01/2024,22:30:00,20953.75,20966.0,20953.25,20963.5,732
12/01/2024,22:45:00,20964.5,20966.5,20953.0,20957.0,726
12/01/2024,23:00:00,20957.5,20963.0,20952.75,20960.25,538
12/01/2024,23:15:00,20960.25,20960.5,20947.0,20954.0,907
12/01/2024,23:30:00,20954.75,20963.25,20953.5,20961.5,407
12/01/2024,23:45:00,20960.75,20964.0,20953.25,20954.25,452
12/02/2024,00:00:00,20954.25,20956.75,20947.75,20949.75,732
12/02/2024,00:15:00,20950.0,20951.25,20942.75,20946.75,703
12/02/2024,00:30:00,20947.5,20950.0,20940.0,20941.25,575
12/02/2024,00:45:00,20942.0,20953.75,20942.0,20953.0,536
12/02/2024,01:00:00,20953.25,20958.5,20948.5,20951.0,784
12/02/2024,01:15:00,20950.0,20956.25,20947.0,20951.5,581
12/02/2024,01:30:00,20952.5,20955.75,20947.75,20955.75,357
12/02/2024,01:45:00,20955.5,20962.25,20950.5,20961.25,743
12/02/2024,02:00:00,20961.75,20974.0,20953.25,20955.0,2070
12/02/2024,02:15:00,20955.0,20964.5,20952.0,20954.75,892
12/02/2024,02:30:00,20954.5,20962.25,20953.0,20961.75,652
12/02/2024,02:45:00,20961.0,20972.25,20958.0,20970.25,625
12/02/2024,03:00:00,20970.5,20973.5,20955.25,20966.25,1750
12/02/2024,03:15:00,20966.0,20968.75,20960.25,20962.25,798
12/02/2024,03:30:00,20962.0,20964.75,20952.75,20958.25,1002
12/02/2024,03:45:00,20957.25,20958.75,20950.0,20952.25,739
12/02/2024,04:00:00,20952.5,20956.5,20940.0,20955.75,1874
12/02/2024,04:15:00,20955.5,20963.5,20950.0,20956.75,1328
12/02/2024,04:30:00,20957.0,20961.5,20951.0,20951.0,1027
12/02/2024,04:45:00,20951.75,20955.0,20947.0,20949.25,894
12/02/2024,05:00:00,20949.75,20958.25,20947.5,20954.25,826
12/02/2024,05:15:00,20954.75,20963.25,20952.25,20960.0,965
12/02/2024,05:30:00,20960.5,20965.5,20951.75,20964.25,1074
12/02/2024,05:45:00,20963.75,20970.0,20960.0,20968.25,1244
12/02/2024,06:00:00,20968.5,20999.0,20965.5,20991.0,3148
12/02/2024,06:15:00,20991.25,21004.75,20983.0,21003.5,2138
12/02/2024,06:30:00,21004.0,21012.0,20991.25,21002.25,2410
12/02/2024,06:45:00,21002.5,21007.5,20995.5,21006.75,1365
12/02/2024,07:00:00,21006.5,21027.5,20999.0,21021.5,2937
12/02/2024,07:15:00,21022.5,21036.75,21015.5,21022.25,2801
12/02/2024,07:30:00,21023.25,21029.5,21010.75,21013.5,3367
12/02/2024,07:45:00,21014.0,21027.5,21004.0,21026.5,4294
12/02/2024,08:00:00,21026.75,21042.75,21024.25,21039.25,4272
12/02/2024,08:15:00,21039.5,21046.5,21024.25,21043.0,5652
12/02/2024,08:30:00,21042.75,21139.75,21026.5,21114.0,48157
12/02/2024,08:45:00,21114.25,21170.0,21111.5,21151.25,27239
12/02/2024,09:00:00,21152.25,21192.5,21147.0,21190.5,26080
12/02/2024,09:15:00,21191.5,21196.5,21157.0,21182.5,16358
12/02/2024,09:30:00,21181.75,21204.5,21174.75,21178.5,17526
12/02/2024,09:45:00,21178.5,21190.75,21141.0,21156.25,22223
12/02/2024,10:00:00,21156.25,21197.25,21152.5,21188.75,15436
12/02/2024,10:15:00,21189.0,21195.0,21166.75,21184.25,10430
12/02/2024,10:30:00,21184.25,21234.25,21178.5,21229.0,17046
12/02/2024,10:45:00,21228.5,21238.75,21215.5,21229.5,11335
12/02/2024,11:00:00,21229.5,21251.75,21227.5,21248.5,13607
12/02/2024,11:15:00,21249.0,21259.75,21230.0,21233.75,10123
12/02/2024,11:30:00,21234.0,21244.5,21225.25,21242.75,9110
12/02/2024,11:45:00,21242.75,21247.25,21226.5,21228.0,6352
12/02/2024,12:00:00,21227.75,21229.75,21213.5,21215.0,8825
12/02/2024,12:15:00,21214.75,21233.5,21205.25,21212.25,9450
12/02/2024,12:30:00,21211.75,21223.5,21194.5,21219.25,9917
12/02/2024,12:45:00,21219.25,21223.0,21206.75,21212.75,5210
12/02/2024,13:00:00,21212.5,21215.5,21178.75,21183.5,9944
12/02/2024,13:15:00,21183.5,21194.25,21176.25,21188.0,8702
12/02/2024,13:30:00,21188.0,21207.5,21186.25,21205.5,8081
12/02/2024,13:45:00,21205.5,21220.5,21200.0,21219.5,7459
12/02/2024,14:00:00,21219.5,21226.0,21202.25,21221.25,7496
12/02/2024,14:15:00,21221.25,21238.25,21215.25,21236.25,10594
12/02/2024,14:30:00,21236.0,21241.0,21219.5,21224.0,10780
12/02/2024,14:45:00,21224.0,21232.75,21213.25,21217.0,24982
12/02/2024,15:00:00,21216.75,21239.5,21214.0,21233.75,9447
12/02/2024,15:15:00,21233.5,21237.0,21219.5,21225.0,2266
12/02/2024,15:30:00,21225.25,21231.0,21211.5,21217.0,2179
12/02/2024,15:45:00,21216.0,21221.25,21208.0,21211.0,1240
12/02/2024,17:00:00,21220.0,21220.0,21203.75,21212.0,850
12/02/2024,17:15:00,21212.0,21224.5,21212.0,21219.75,908
12/02/2024,17:30:00,21220.5,21221.25,21206.0,21207.75,729
12/02/2024,17:45:00,21207.5,21219.5,21207.25,21214.0,639
12/02/2024,18:00:00,21215.25,21220.25,21213.5,21215.75,534
12/02/2024,18:15:00,21216.75,21218.5,21208.25,21209.75,569
12/02/2024,18:30:00,21210.0,21214.0,21204.25,21208.5,646
12/02/2024,18:45:00,21208.75,21214.0,21208.75,21211.0,610
12/02/2024,19:00:00,21210.5,21215.75,21203.25,21215.5,937
12/02/2024,19:15:00,21215.0,21224.0,21214.0,21215.5,938
12/02/2024,19:30:00,21215.75,21226.0,21214.0,21223.75,774
12/02/2024,19:45:00,21224.0,21227.0,21215.5,21216.0,600
12/02/2024,20:00:00,21216.0,21220.25,21215.0,21217.75,476
12/02/2024,20:15:00,21217.5,21217.5,21210.0,21213.0,578
12/02/2024,20:30:00,21213.5,21220.0,21212.0,21219.0,480
12/02/2024,20:45:00,21219.0,21221.0,21217.5,21218.0,223
12/02/2024,21:00:00,21218.0,21228.5,21218.0,21227.25,635
12/02/2024,21:15:00,21227.75,21232.0,21226.0,21226.25,729
12/02/2024,21:30:00,21226.75,21236.25,21226.0,21235.5,707
12/02/2024,21:45:00,21234.5,21238.0,21227.75,21230.25,595
12/02/2024,22:00:00,21231.0,21236.5,21230.25,21234.25,392
12/02/2024,22:15:00,21234.25,21239.75,21232.5,21235.25,585
12/02/2024,22:30:00,21235.5,21235.5,21226.5,21230.0,412
12/02/2024,22:45:00,21230.25,21231.75,21224.5,21225.0,384
12/02/2024,23:00:00,21224.75,21227.25,21221.75,21225.75,335
12/02/2024,23:15:00,21225.75,21231.0,21224.5,21227.25,358
12/02/2024,23:30:00,21227.25,21231.0,21226.5,21230.25,177
12/02/2024,23:45:00,21230.0,21234.0,21227.5,21231.25,358
12/03/2024,00:00:00,21231.5,21237.75,21230.25,21236.25,503
12/03/2024,00:15:00,21236.0,21236.5,21227.75,21229.25,407
12/03/2024,00:30:00,21229.5,21234.0,21227.25,21227.25,485
12/03/2024,00:45:00,21227.25,21231.25,21225.25,21227.0,357
12/03/2024,01:00:00,21226.75,21233.75,21219.25,21231.25,820
12/03/2024,01:15:00,21230.5,21235.25,21225.25,21233.25,543
12/03/2024,01:30:00,21233.0,21235.0,21226.25,21231.5,654
12/03/2024,01:45:00,21231.5,21232.5,21226.25,21227.0,543
12/03/2024,02:00:00,21227.5,21243.5,21216.0,21218.0,2492
12/03/2024,02:15:00,21219.0,21226.75,21211.5,21214.25,1659
12/03/2024,02:30:00,21214.5,21223.25,21211.5,21222.0,1376
12/03/2024,02:45:00,21221.75,21226.75,21211.5,21217.25,1384
12/03/2024,03:00:00,21217.25,21223.5,21211.5,21219.5,1968
12/03/2024,03:15:00,21219.75,21223.0,21213.25,21216.5,1036
12/03/2024,03:30:00,21215.75,21217.75,21211.5,21215.75,766
12/03/2024,03:45:00,21216.25,21219.5,21212.5,21217.0,705
12/03/2024,04:00:00,21217.5,21220.25,21212.5,21218.75,639
12/03/2024,04:15:00,21218.75,21222.0,21213.25,21214.5,667
12/03/2024,04:30:00,21214.25,21216.25,21203.75,21209.5,1717
12/03/2024,04:45:00,21209.25,21214.0,21202.25,21202.75,851
12/03/2024,05:00:00,21202.5,21204.0,21187.0,21190.25,2211
12/03/2024,05:15:00,21190.5,21205.25,21188.5,21193.5,1494
12/03/2024,05:30:00,21193.5,21204.75,21191.25,21200.25,1458
12/03/2024,05:45:00,21199.75,21211.75,21199.5,21206.75,1095
12/03/2024,06:00:00,21207.25,21215.75,21194.5,21194.75,1738
12/03/2024,06:15:00,21195.0,21212.0,21187.25,21206.0,1671
12/03/2024,06:30:00,21205.75,21221.5,21204.0,21219.5,1778
12/03/2024,06:45:00,21219.5,21219.75,21202.5,21206.75,1538
12/03/2024,07:00:00,21207.25,21214.25,21203.75,21213.75,1198
12/03/2024,07:15:00,21213.25,21215.0,21199.0,21206.75,1694
12/03/2024,07:30:00,21207.25,21219.75,21203.25,21218.25,1764
12/03/2024,07:45:00,21218.75,21226.0,21195.5,21196.0,4540
12/03/2024,08:00:00,21196.25,21210.25,21155.0,21157.75,10461
12/03/2024,08:15:00,21157.75,21178.0,21144.5,21157.25,9640
12/03/2024,08:30:00,21158.0,21203.5,21134.25,21191.75,39174
12/03/2024,08:45:00,21191.0,21209.75,21187.0,21203.0,18729
12/03/2024,09:00:00,21202.75,21234.0,21195.0,21214.5,25089
12/03/2024,09:15:00,21214.25,21221.5,21170.0,21177.5,19166
12/03/2024,09:30:00,21177.0,21216.75,21174.5,21189.0,17788
12/03/2024,09:45:00,21189.5,21208.5,21164.5,21207.0,17081
12/03/2024,10:00:00,21207.25,21233.0,21202.75,21222.25,17842
12/03/2024,10:15:00,21221.75,21251.5,21213.75,21251.0,15318
12/03/2024,10:30:00,21250.5,21262.75,21196.25,21199.0,19966
12/03/2024,10:45:00,21199.5,21227.75,21197.0,21205.75,11405
12/03/2024,11:00:00,21206.25,21219.75,21196.25,21207.0,8160
12/03/2024,11:15:00,21207.25,21216.25,21200.75,21202.75,7000
12/03/2024,11:30:00,21203.0,21212.0,21190.0,21208.5,9369
12/03/2024,11:45:00,21208.0,21243.0,21207.5,21242.25,10077
12/03/2024,12:00:00,21242.5,21245.75,21229.5,21238.0,7163
12/03/2024,12:15:00,21238.25,21246.5,21227.25,21227.5,6588
12/03/2024,12:30:00,21227.5,21239.25,21218.5,21220.0,7304
12/03/2024,12:45:00,21219.75,21240.75,21213.0,21232.0,8071
12/03/2024,13:00:00,21232.5,21235.25,21223.75,21229.25,6522
12/03/2024,13:15:00,21229.5,21237.0,21224.25,21234.0,5662
12/03/2024,13:30:00,21234.25,21250.0,21232.75,21241.5,6999
12/03/2024,13:45:00,21241.0,21262.0,21237.5,21255.0,10376
12/03/2024,14:00:00,21254.75,21260.75,21248.75,21252.5,7949
12/03/2024,14:15:00,21252.75,21265.0,21248.5,21255.5,6974
12/03/2024,14:30:00,21255.5,21258.75,21239.0,21248.75,8130
12/03/2024,14:45:00,21248.75,21289.75,21245.25,21279.0,23493
12/03/2024,15:00:00,21278.75,21312.5,21272.5,21310.25,12338
12/03/2024,15:15:00,21310.75,21329.0,21305.75,21324.5,4437
12/03/2024,15:30:00,21325.0,21328.0,21320.75,21325.5,1342
12/03/2024,15:45:00,21325.25,21328.5,21322.5,21324.25,1661
12/03/2024,17:00:00,21323.0,21323.0,21305.75,21310.75,1861
12/03/2024,17:15:00,21311.25,21319.5,21310.5,21318.25,504
12/03/2024,17:30:00,21318.75,21333.25,21317.0,21328.0,1100
12/03/2024,17:45:00,21327.75,21336.5,21325.0,21332.75,1253
12/03/2024,18:00:00,21333.0,21333.75,21325.0,21328.0,978
12/03/2024,18:15:00,21327.75,21329.5,21321.5,21325.5,825
12/03/2024,18:30:00,21324.75,21324.75,21316.25,21319.25,1135
12/03/2024,18:45:00,21319.75,21328.25,21319.0,21323.0,748
12/03/2024,19:00:00,21323.75,21326.25,21320.0,21325.75,596
12/03/2024,19:15:00,21325.0,21335.0,21322.75,21322.75,1002
12/03/2024,19:30:00,21322.5,21330.75,21321.5,21325.5,789
12/03/2024,19:45:00,21326.0,21329.25,21322.25,21324.0,433
12/03/2024,20:00:00,21324.5,21330.25,21324.0,21326.0,382
12/03/2024,20:15:00,21325.5,21331.25,21325.0,21328.75,400
