Date,Time,Open,High,Low,Close,Volume
12/01/2024,17:00:00,20995.25,21004.0,20985.25,20988.25,736
12/01/2024,17:02:00,20987.5,20993.0,20984.5,20984.5,275
12/01/2024,17:04:00,20985.0,20991.0,20973.0,20978.0,435
12/01/2024,17:06:00,20979.25,20984.0,20970.75,20972.0,278
12/01/2024,17:08:00,20971.25,20974.0,20962.25,20971.5,477
12/01/2024,17:10:00,20971.5,20972.5,20960.25,20966.0,315
12/01/2024,17:12:00,20965.75,20977.0,20965.75,20976.75,267
12/01/2024,17:14:00,20977.0,20985.5,20976.5,20985.0,261
12/01/2024,17:16:00,20984.5,20987.75,20978.0,20979.5,231
12/01/2024,17:18:00,20978.75,20980.0,20971.5,20972.75,115
12/01/2024,17:20:00,20973.0,20973.25,20969.25,20969.5,92
12/01/2024,17:22:00,20969.75,20974.0,20969.25,20972.5,88
12/01/2024,17:24:00,20971.0,20974.0,20969.25,20972.0,94
12/01/2024,17:26:00,20971.75,20977.0,20971.75,20973.5,101
12/01/2024,17:28:00,20973.5,20974.75,20971.0,20971.0,48
12/01/2024,17:30:00,20971.5,20972.25,20963.75,20968.5,203
12/01/2024,17:32:00,20968.25,20968.25,20961.0,20962.0,188
12/01/2024,17:34:00,20963.75,20970.0,20962.75,20965.5,135
12/01/2024,17:36:00,20965.0,20965.0,20957.25,20960.75,300
12/01/2024,17:38:00,20960.75,20960.75,20954.75,20956.5,220
12/01/2024,17:40:00,20957.5,20961.5,20952.5,20958.0,267
12/01/2024,17:42:00,20958.25,20961.25,20956.75,20959.75,124
12/01/2024,17:44:00,20959.0,20965.5,20958.5,20962.25,166
12/01/2024,17:46:00,20962.5,20967.75,20958.25,20966.25,251
12/01/2024,17:48:00,20966.5,20969.5,20963.75,20967.0,232
12/01/2024,17:50:00,20966.75,20971.5,20965.0,20965.75,211
12/01/2024,17:52:00,20965.5,20966.0,20959.25,20961.25,123
12/01/2024,17:54:00,20961.0,20964.25,20958.75,20960.75,93
12/01/2024,17:56:00,20960.0,20962.75,20958.5,20962.75,50
12/01/2024,17:58:00,20962.0,20965.75,20962.0,20964.5,65
12/01/2024,18:00:00,20966.0,20974.25,20966.0,20974.0,282
12/01/2024,18:02:00,20973.0,20977.5,20970.25,20976.5,157
12/01/2024,18:04:00,20977.0,20978.0,20973.5,20974.0,122
12/01/2024,18:06:00,20973.75,20981.5,20973.75,20978.75,169
12/01/2024,18:08:00,20978.25,20981.25,20976.0,20979.75,98
12/01/2024,18:10:00,20980.0,20983.0,20974.75,20976.25,243
12/01/2024,18:12:00,20976.25,20976.75,20972.75,20974.0,80
12/01/2024,18:14:00,20973.0,20973.5,20962.25,20967.0,281
12/01/2024,18:16:00,20966.75,20972.0,20964.25,20970.25,193
12/01/2024,18:18:00,20970.0,20975.75,20969.5,20972.0,106
12/01/2024,18:20:00,20972.0,20980.75,20970.5,20977.75,175
12/01/2024,18:22:00,20977.5,20977.5,20974.0,20975.5,81
12/01/2024,18:24:00,20975.75,20982.75,20975.75,20980.75,104
12/01/2024,18:26:00,20980.25,20980.75,20977.0,20979.25,70
12/01/2024,18:28:00,20978.75,20980.0,20970.25,20970.25,147
12/01/2024,18:30:00,20971.25,20972.75,20969.0,20971.25,120
12/01/2024,18:32:00,20972.5,20972.5,20960.5,20964.5,201
12/01/2024,18:34:00,20964.25,20964.25,20947.0,20955.25,622
12/01/2024,18:36:00,20955.0,20955.75,20950.5,20953.75,141
12/01/2024,18:38:00,20953.75,20957.0,20953.25,20953.75,94
12/01/2024,18:40:00,20953.25,20955.75,20950.0,20952.25,161
12/01/2024,18:42:00,20952.25,20954.0,20947.25,20947.5,148
12/01/2024,18:44:00,20947.25,20951.0,20941.75,20943.75,299
12/01/2024,18:46:00,20942.75,20954.0,20942.75,20953.5,231
12/01/2024,18:48:00,20954.25,20955.25,20952.5,20953.0,89
12/01/2024,18:50:00,20953.75,20954.75,20949.25,20949.5,161
12/01/2024,18:52:00,20950.25,20961.25,20950.0,20961.25,236
12/01/2024,18:54:00,20960.5,20964.75,20957.5,20962.25,171
12/01/2024,18:56:00,20962.25,20963.5,20957.75,20960.25,99
12/01/2024,18:58:00,20959.75,20960.75,20955.25,20956.5,83
12/01/2024,19:00:00,20956.75,20956.75,20951.75,20954.0,198
12/01/2024,19:02:00,20955.0,20957.0,20949.75,20956.0,151
12/01/2024,19:04:00,20956.25,20958.75,20953.75,20953.75,109
12/01/2024,19:06:00,20954.5,20955.75,20950.75,20955.25,70
12/01/2024,19:08:00,20955.75,20963.25,20955.75,20962.0,287
12/01/2024,19:10:00,20962.0,20969.25,20962.0,20967.0,179
12/01/2024,19:12:00,20967.0,20970.0,20966.5,20966.5,84
12/01/2024,19:14:00,20966.5,20971.0,20963.0,20964.25,114
12/01/2024,19:16:00,20964.75,20964.75,20958.25,20959.75,149
12/01/2024,19:18:00,20959.75,20960.25,20956.5,20958.5,71
12/01/2024,19:20:00,20959.0,20963.0,20956.0,20957.25,90
12/01/2024,19:22:00,20958.25,20959.75,20953.25,20956.75,108
12/01/2024,19:24:00,20956.25,20961.25,20956.0,20959.75,59
12/01/2024,19:26:00,20959.5,20966.25,20959.5,20962.75,90
12/01/2024,19:28:00,20963.25,20965.5,20961.25,20961.25,70
12/01/2024,19:30:00,20962.0,20968.75,20962.0,20967.5,78
12/01/2024,19:32:00,20968.5,20968.75,20964.0,20967.75,112
12/01/2024,19:34:00,20967.0,20974.5,20962.75,20972.75,261
12/01/2024,19:36:00,20970.75,20974.5,20969.75,20974.25,98
12/01/2024,19:38:00,20972.75,20973.5,20968.5,20968.5,89
12/01/2024,19:40:00,20969.25,20971.25,20967.25,20969.75,81
12/01/2024,19:42:00,20969.25,20970.75,20966.0,20969.75,104
12/01/2024,19:44:00,20969.75,20971.5,20967.5,20967.5,92
12/01/2024,19:46:00,20967.0,20970.25,20965.5,20968.0,78
12/01/2024,19:48:00,20968.0,20970.25,20966.25,20966.75,84
12/01/2024,19:50:00,20967.75,20967.75,20963.0,20964.5,96
12/01/2024,19:52:00,20963.75,20969.25,20963.0,20968.5,141
12/01/2024,19:54:00,20968.75,20969.25,20960.5,20961.25,145
12/01/2024,19:56:00,20961.0,20963.75,20960.5,20961.5,95
12/01/2024,19:58:00,20961.0,20961.25,20954.5,20957.5,199
12/01/2024,20:00:00,20957.0,20959.25,20950.0,20952.75,223
12/01/2024,20:02:00,20953.25,20954.25,20948.25,20950.25,199
12/01/2024,20:04:00,20951.0,20953.5,20948.5,20951.25,142
12/01/2024,20:06:00,20951.75,20954.25,20948.0,20954.25,200
12/01/2024,20:08:00,20954.5,20954.75,20951.25,20951.25,129
12/01/2024,20:10:00,20951.25,20957.5,20950.25,20957.0,132
12/01/2024,20:12:00,20957.0,20958.75,20955.25,20958.5,81
12/01/2024,20:14:00,20958.25,20958.25,20951.25,20952.25,151
12/01/2024,20:16:00,20952.25,20957.0,20952.0,20956.5,92
12/01/2024,20:18:00,20957.0,20961.75,20955.75,20960.0,144
12/01/2024,20:20:00,20959.25,20961.25,20957.0,20957.5,104
12/01/2024,20:22:00,20957.0,20957.75,20954.0,20954.5,83
12/01/2024,20:24:00,20954.75,20957.0,20953.75,20956.25,62
12/01/2024,20:26:00,20955.75,20956.25,20952.25,20954.0,71
12/01/2024,20:28:00,20954.0,20958.0,20953.0,20957.25,58
12/01/2024,20:30:00,20957.25,20959.0,20956.25,20957.5,76
12/01/2024,20:32:00,20956.5,20957.25,20953.25,20953.25,52
12/01/2024,20:34:00,20953.5,20955.25,20952.75,20953.25,60
12/01/2024,20:36:00,20954.0,20957.0,20954.0,20956.75,55
12/01/2024,20:38:00,20956.25,20958.25,20953.5,20954.0,71
12/01/2024,20:40:00,20954.0,20956.0,20953.25,20953.75,61
12/01/2024,20:42:00,20952.75,20957.5,20951.25,20955.5,101
12/01/2024,20:44:00,20955.5,20955.5,20954.0,20954.25,37
12/01/2024,20:46:00,20955.0,20955.0,20953.5,20954.0,26
12/01/2024,20:48:00,20954.5,20959.75,20954.25,20958.25,75
12/01/2024,20:50:00,20957.75,20958.75,20955.0,20957.5,63
12/01/2024,20:52:00,20957.0,20958.75,20956.25,20958.0,35
12/01/2024,20:54:00,20957.75,20958.25,20954.0,20954.25,33
12/01/2024,20:56:00,20954.75,20956.75,20953.0,20954.75,69
12/01/2024,20:58:00,20954.75,20954.75,20951.5,20953.75,79
12/01/2024,21:00:00,20953.75,20957.5,20953.5,20956.25,63
12/01/2024,21:02:00,20956.5,20958.0,20954.75,20955.0,87
12/01/2024,21:04:00,20955.0,20955.0,20952.25,20953.5,67
12/01/2024,21:06:00,20953.25,20954.0,20950.25,20951.5,75
12/01/2024,21:08:00,20951.75,20955.0,20951.25,20954.0,52
12/01/2024,21:10:00,20954.25,20956.5,20953.25,20954.75,46
12/01/2024,21:12:00,20954.25,20955.5,20953.5,20954.25,27
12/01/2024,21:14:00,20954.75,20955.0,20952.0,20952.0,35
12/01/2024,21:16:00,20952.25,20956.5,20952.0,20956.5,74
12/01/2024,21:18:00,20955.75,20957.5,20955.25,20956.75,38
12/01/2024,21:20:00,20956.25,20956.25,20953.0,20953.5,51
12/01/2024,21:22:00,20954.25,20957.5,20953.0,20957.0,71
12/01/2024,21:24:00,20956.5,20957.0,20954.75,20955.5,68
12/01/2024,21:26:00,20955.75,20957.0,20954.0,20956.0,80
12/01/2024,21:28:00,20956.75,20963.5,20956.5,20962.0,215
12/01/2024,21:30:00,20961.75,20962.25,20958.75,20961.75,118
12/01/2024,21:32:00,20962.0,20964.0,20958.25,20958.25,111
12/01/2024,21:34:00,20959.0,20962.5,20957.5,20961.75,117
12/01/2024,21:36:00,20961.75,20964.0,20960.0,20963.0,62
12/01/2024,21:38:00,20963.75,20964.75,20957.0,20959.25,157
12/01/2024,21:40:00,20959.75,20961.25,20958.75,20960.25,74
12/01/2024,21:42:00,20960.0,20961.0,20957.5,20960.5,58
12/01/2024,21:44:00,20961.0,20962.25,20959.75,20959.75,26
12/01/2024,21:46:00,20959.25,20961.25,20958.75,20960.0,37
12/01/2024,21:48:00,20959.5,20959.5,20955.25,20956.75,85
12/01/2024,21:50:00,20956.75,20957.5,20951.5,20952.5,145
12/01/2024,21:52:00,20952.0,20953.75,20946.0,20946.0,226
12/01/2024,21:54:00,20946.0,20949.75,20945.5,20947.75,147
12/01/2024,21:56:00,20947.25,20948.75,20945.5,20947.75,103
