Date,Time,Open,High,Low,Close,Volume
01/01/2024,17:00:00,17019.0,17037.0,17013.75,17033.25,3517
01/01/2024,17:30:00,17033.25,17036.25,17027.25,17029.5,1116
01/01/2024,18:00:00,17030.0,17030.75,17018.5,17019.75,1222
01/01/2024,18:30:00,17019.75,17028.0,17018.5,17027.0,1048
01/01/2024,19:00:00,17026.75,17038.5,17026.25,17029.25,2664
01/01/2024,19:30:00,17029.0,17031.5,17010.75,17014.5,2591
01/01/2024,20:00:00,17014.5,17019.0,17010.25,17011.5,1696
01/01/2024,20:30:00,17011.75,17013.25,17001.0,17008.25,1845
01/01/2024,21:00:00,17008.25,17013.0,17004.5,17009.0,1130
01/01/2024,21:30:00,17009.25,17010.25,17002.25,17007.5,894
01/01/2024,22:00:00,17007.25,17008.75,17003.25,17007.75,627
01/01/2024,22:30:00,17008.0,17013.0,17007.25,17007.75,899
01/01/2024,23:00:00,17008.0,17019.0,17006.75,17017.0,1471
01/01/2024,23:30:00,17016.5,17019.0,17015.5,17017.75,761
01/02/2024,00:00:00,17017.5,17019.5,17009.75,17012.0,884
01/02/2024,00:30:00,17011.75,17014.0,17003.0,17004.5,1212
01/02/2024,01:00:00,17004.25,17023.25,17004.25,17019.75,2322
01/02/2024,01:30:00,17020.0,17021.0,17011.75,17017.25,1713
01/02/2024,02:00:00,17017.5,17034.5,17016.0,17032.75,3040
01/02/2024,02:30:00,17033.0,17036.75,17025.75,17027.25,2458
01/02/2024,03:00:00,17027.25,17028.5,16998.25,17005.25,4749
01/02/2024,03:30:00,17005.5,17005.5,16988.0,16994.5,3302
01/02/2024,04:00:00,16994.5,16996.75,16982.5,16986.25,2572
01/02/2024,04:30:00,16986.25,16997.5,16968.25,16971.0,3956
01/02/2024,05:00:00,16970.75,16976.5,16875.25,16877.5,13200
01/02/2024,05:30:00,16877.75,16882.0,16845.25,16874.75,9000
01/02/2024,06:00:00,16875.25,16878.0,16847.5,16860.0,7799
01/02/2024,06:30:00,16859.25,16863.25,16817.0,16823.5,8718
01/02/2024,07:00:00,16823.0,16832.0,16817.0,16827.75,8104
01/02/2024,07:30:00,16827.75,16855.5,16821.75,16853.0,11957
01/02/2024,08:00:00,16853.0,16877.75,16834.5,16862.0,14911
01/02/2024,08:30:00,16861.75,16873.5,16719.5,16763.5,87080
01/02/2024,09:00:00,16763.5,16789.0,16716.75,16723.5,51845
01/02/2024,09:30:00,16723.5,16724.75,16685.0,16710.5,42620
01/02/2024,10:00:00,16710.75,16762.0,16709.0,16761.0,35790
01/02/2024,10:30:00,16761.25,16785.5,16758.25,16778.25,27322
01/02/2024,11:00:00,16778.0,16787.75,16753.25,16760.0,23882
01/02/2024,11:30:00,16760.25,16786.5,16717.75,16720.0,28184
01/02/2024,12:00:00,16720.25,16742.0,16703.25,16731.5,23626
01/02/2024,12:30:00,16731.25,16741.0,16688.25,16696.0,26044
01/02/2024,13:00:00,16696.5,16702.5,16668.0,16698.75,27280
01/02/2024,13:30:00,16698.5,16707.5,16653.75,16655.0,27471
01/02/2024,14:00:00,16654.75,16660.0,16622.5,16645.75,36893
01/02/2024,14:30:00,16645.75,16726.0,16636.75,16721.0,58941
01/02/2024,15:00:00,16721.0,16736.5,16714.0,16728.75,13109
01/02/2024,15:30:00,16728.75,16732.75,16727.0,16731.75,2779
01/02/2024,17:00:00,16736.75,16737.25,16716.75,16722.0,2667
01/02/2024,17:30:00,16721.75,16725.25,16721.0,16724.75,821
01/02/2024,18:00:00,16724.5,16729.0,16720.25,16726.0,1634
01/02/2024,18:30:00,16726.0,16727.25,16715.0,16716.5,1396
01/02/2024,19:00:00,16716.75,16721.0,16708.0,16711.75,2016
01/02/2024,19:30:00,16711.75,16717.5,16707.5,16711.75,2003
01/02/2024,20:00:00,16711.25,16714.75,16700.0,16702.0,1703
01/02/2024,20:30:00,16701.75,16707.0,16700.25,16702.75,1279
01/02/2024,21:00:00,16703.0,16709.25,16701.5,16702.5,1268
01/02/2024,21:30:00,16702.75,16708.5,16702.25,16703.5,792
01/02/2024,22:00:00,16703.25,16704.5,16698.5,16701.25,1167
01/02/2024,22:30:00,16700.75,16701.75,16693.25,16694.75,1201
01/02/2024,23:00:00,16695.0,16699.0,16689.0,16697.5,1764
01/02/2024,23:30:00,16697.75,16705.75,16697.25,16704.75,1447
01/03/2024,00:00:00,16704.5,16713.75,16700.25,16713.25,1697
01/03/2024,00:30:00,16713.5,16716.75,16710.25,16711.5,1249
01/03/2024,01:00:00,16711.0,16714.0,16701.5,16710.75,2348
01/03/2024,01:30:00,16710.75,16713.5,16704.0,16709.75,1677
