time,open,high,low,close,volume
1732780800,20870.75,20875.75,20865.0,20874.25,1744
1732782600,20874.0,20896.75,20874.0,20888.5,6518
1732784400,20889.0,20902.0,20884.5,20892.0,4801
1732786200,20892.75,20905.5,20886.75,20898.0,3656
1732788000,20898.0,20909.5,20891.5,20893.25,3066
1732789800,20893.75,20894.5,20878.0,20882.0,3025
1732791600,20882.5,20898.25,20882.0,20897.0,1832
1732793400,20897.5,20901.5,20883.25,20890.0,1994
1732813200,20884.0,20892.0,20873.25,20884.0,830
1732815000,20884.0,20892.25,20878.0,20887.75,777
1732816800,20887.5,20889.75,20865.0,20873.5,1267
1732818600,20874.25,20874.75,20828.75,20838.75,2397
1732820400,20839.0,20863.25,20822.75,20861.5,2876
1732822200,20861.25,20877.0,20860.5,20876.0,1884
1732824000,20876.5,20897.5,20876.25,20896.75,2271
1732825800,20897.25,20901.5,20888.0,20900.0,1063
1732827600,20901.0,20919.0,20901.0,20913.25,2048
1732829400,20913.75,20919.0,20906.0,20913.5,1178
1732831200,20914.5,20937.75,20914.0,20929.0,2533
1732833000,20929.0,20932.75,20923.0,20931.75,1057
1732834800,20932.25,20935.75,20910.5,20911.0,1552
1732836600,20911.75,20914.25,20900.25,20902.25,1197
1732838400,20902.0,20903.25,20891.0,20896.5,992
1732840200,20896.25,20912.75,20894.75,20906.0,1610
1732842000,20905.75,20907.0,20872.0,20879.25,2376
1732843800,20879.0,20893.0,20865.5,20881.25,2189
1732845600,20881.75,20905.25,20879.5,20897.75,3202
1732847400,20897.5,20904.0,20887.0,20900.75,2210
1732849200,20900.25,20910.0,20894.0,20905.75,2410
1732851000,20905.5,20910.0,20896.0,20897.0,1683
1732852800,20897.25,20909.0,20891.0,20894.0,1886
1732854600,20893.75,20898.75,20880.5,20895.75,1786
1732856400,20894.75,20895.0,20875.0,20885.75,1995
1732858200,20886.0,20892.25,20879.25,20884.0,1734
1732860000,20884.25,20886.75,20871.0,20875.0,2047
1732861800,20875.25,20878.0,20842.25,20857.75,4032
1732863600,20857.5,20864.5,20838.25,20839.75,3715
1732865400,20839.75,20843.75,20812.25,20828.5,8832
1732867200,20828.5,20874.0,20822.0,20830.5,10848
1732869000,20830.5,20919.25,20805.5,20915.75,40991
1732870800,20915.5,20973.5,20905.5,20945.75,40006
1732872600,20945.75,20981.75,20936.25,20954.0,25316
1732874400,20954.5,20996.5,20954.5,20988.5,23710
1732876200,20988.5,21006.5,20968.25,20996.5,20815
1732878000,20996.5,21004.25,20979.5,20983.5,19183
1732879800,20984.0,21017.5,20982.0,20990.75,29314
1732881600,20990.5,20995.25,20980.25,20991.25,6834
1733011200,16943.75,16952.25,16940.75,16950.5,1030
1733013000,16950.0,16959.0,16944.0,16958.0,1301
1733014800,16958.25,16961.75,16936.25,16937.5,3416
1733016600,16938.25,16941.75,16915.25,16921.25,3417
1733018400,16920.75,16964.5,16917.0,16959.75,5634
1733020200,16960.25,16975.75,16940.0,16963.5,4380
1733022000,16963.0,16977.75,16943.5,16951.25,3924
1733023800,16951.5,16965.0,16925.25,16927.5,3733
1733025600,16927.0,16947.0,16922.25,16943.25,2580
1733027400,16942.75,16945.0,16913.25,16923.5,3709
1733029200,16924.0,16934.75,16906.25,16920.25,4329
1733031000,16921.0,16921.75,16866.5,16896.0,10861
1733032800,16895.5,16913.25,16887.25,16907.25,6814
1733034600,16908.0,16922.75,16905.5,16908.5,5640
1733036400,16908.5,16928.5,16895.25,16909.5,8599
1733038200,16907.25,16979.25,16907.25,16963.75,25149
1733040000,16964.0,17008.75,16956.0,17008.75,17696
1733041800,17008.0,17042.5,16974.0,16986.0,74561
1733043600,16986.5,17006.0,16935.25,16965.25,66398
1733045400,16966.25,16989.75,16913.5,16944.5,49787
1733047200,16944.25,16995.75,16934.5,16982.0,37074
1733049000,16982.25,16988.75,16921.0,16928.0,35079
1733050800,16928.75,16959.75,16917.25,16943.75,25902
1733052600,16944.0,16965.0,16929.75,16953.75,19757
1733054400,16953.75,16977.0,16953.5,16969.75,17546
1733056200,16970.25,16983.25,16963.5,16979.25,13400
1733058000,16979.25,16994.0,16960.25,16973.0,17092
1733059800,16972.75,16974.0,16943.5,16951.0,22833
1733061600,16951.25,16960.5,16932.0,16953.75,24792
1733063400,16954.25,16980.0,16950.5,16972.25,35022
1733065200,16972.25,16972.5,16954.0,16954.25,8600
1733067000,16954.0,16957.0,16947.0,16955.25,1870
1733097600,18019.0,18028.75,18018.0,18024.25,937
1733099400,18024.25,18029.5,18021.25,18022.5,1022
1733101200,18022.5,18049.25,18020.5,18040.25,3160
1733103000,18040.25,18044.0,18032.5,18037.75,1795
1733104800,18038.5,18052.5,18035.0,18049.75,2882
1733106600,18049.0,18055.5,18039.75,18045.25,2355
1733108400,18045.0,18059.25,18043.0,18054.25,3920
1733110200,18054.25,18057.5,18048.0,18051.25,1823
1733112000,18051.5,18058.75,18042.75,18051.5,2772
1733113800,18051.25,18054.0,18046.0,18051.25,1293
1733115600,18050.75,18056.5,18042.5,18050.0,1869
1733117400,18050.5,18053.25,18042.0,18044.5,1606
1733119200,18044.5,18050.5,18035.25,18036.5,2901
1733121000,18036.25,18041.0,18031.75,18040.5,2637
1733122800,18040.0,18048.0,18033.75,18041.75,3047
1733124600,18041.75,18043.25,18026.5,18029.0,5342
1733126400,18029.5,18035.5,18021.5,18029.5,6805
1733128200,18029.75,18051.0,18007.25,18040.5,55677
1733130000,18040.5,18042.5,18014.25,18032.75,31219
1733131800,18032.75,18084.25,18027.25,18079.25,36141
1733133600,18079.5,18097.25,18063.25,18094.0,29973
1733135400,18094.0,18121.5,18083.75,18100.25,36164
1733137200,18100.25,18108.5,18066.75,18076.75,27217
1733139000,18077.0,18105.25,18075.5,18103.75,23043
1733140800,18103.75,18109.25,18053.0,18055.0,26994
1733142600,18055.5,18056.0,17991.75,18020.5,48181
1733144400,18020.75,18025.25,17936.25,17978.25,46712
1733146200,17978.25,17988.5,17942.75,17951.25,31220
1733148000,17951.0,17985.75,17948.25,17973.75,24083
1733149800,17973.75,17981.0,17952.0,17963.5,37578
1733151600,17963.25,17968.0,17911.25,17920.25,15250
1733153400,17920.25,17930.0,17917.25,17929.5,2314
1733158800,17928.5,17935.0,17917.0,17928.25,2492
1733160600,17929.0,17940.5,17927.5,17938.25,1261
1733162400,17938.0,17939.25,17918.0,17928.25,2013
1733164200,17927.75,17932.5,17923.75,17929.5,1077
1733166000,17929.5,17931.5,17920.25,17925.0,1140
1733167800,17925.25,17927.75,17923.25,17926.25,550
1733169600,17926.25,17932.0,17921.75,17931.25,723
1733171400,17931.25,17939.75,17931.0,17934.25,1283
1733173200,17934.0,17935.0,17930.0,17931.25,566
1733175000,17931.0,17931.0,17924.25,17926.0,794
1733176800,17926.0,17932.25,17924.75,17931.25,759
1733178600,17931.25,17932.0,17923.5,17929.5,761
1733180400,17929.5,17942.0,17928.75,17941.25,1106
1733182200,17941.0,17943.5,17936.75,17940.0,1263
1733184000,18071.75,18334.0,18071.75,18329.75,1609
1733185800,18330.25,18341.5,18326.5,18337.5,1598
1733187600,18338.0,18340.75,18314.5,18324.0,1899
1733189400,18324.0,18330.5,18313.25,18324.75,1321
1733191200,18326.25,18333.75,18319.0,18325.5,1706
1733193000,18324.5,18329.75,18318.0,18325.5,1069
1733194800,18326.25,18343.5,18297.75,18298.0,5640
1733196600,18297.5,18307.5,18275.25,18283.5,5068
1733198400,18284.5,18297.75,18277.25,18296.5,2497
1733200200,18296.5,18300.75,18276.25,18278.25,2009
1733202000,18278.0,18303.25,18277.0,18296.0,2577
1733203800,18296.0,18309.75,18290.0,18295.5,2433
1733205600,18296.0,18299.75,18277.0,18294.5,2975
1733207400,18294.25,18305.0,18290.25,18294.0,3208
1733209200,18293.25,18304.25,18277.5,18292.0,5770
1733211000,18292.5,18381.0,18204.0,18315.5,50117
1733212800,18316.5,18326.5,18271.75,18311.25,21037
1733214600,18311.5,18339.0,18174.0,18291.75,105634
1733216400,18292.5,18367.25,18274.75,18364.75,61635
1733218200,18364.75,18447.0,18364.75,18419.5,57410
1733220000,18419.75,18457.5,18398.75,18453.5,34369
1733221800,18453.5,18455.75,18388.0,18420.0,36757
1733223600,18420.0,18424.75,18372.75,18383.5,30319
1733225400,18383.25,18388.5,18323.25,18354.75,36340
1733227200,18355.5,18404.0,18323.75,18382.5,34215
1733229000,18382.5,18409.5,18380.25,18402.5,21410
1733230800,18402.75,18445.5,18397.25,18444.25,20969
1733232600,18444.25,18464.5,18409.0,18454.5,29907
1733234400,18454.5,18472.0,18435.0,18468.25,24816
1733236200,18468.25,18491.0,18455.5,18475.75,38953
1733238000,18475.5,18482.25,18463.75,18472.75,11013
1733239800,18472.5,18480.0,18470.0,18471.0,2766
1733245200,18469.5,18475.0,18456.0,18472.75,1501
1733247000,18473.5,18480.75,18473.25,18475.5,987
1733248800,18475.25,18488.25,18472.0,18483.25,1268
1733250600,18484.0,18486.25,18474.75,18478.25,1182
1733252400,18478.5,18481.0,18471.75,18478.75,1117
1733254200,18478.25,18478.75,18458.0,18461.5,2139
1733256000,18461.25,18464.5,18456.0,18460.75,1496
1733257800,18461.25,18463.0,18452.75,18461.25,1318
1733259600,18461.75,18463.25,18455.75,18457.0,1055
1733261400,18456.75,18458.5,18451.25,18452.5,982
1733263200,18452.5,18453.5,18444.5,18452.75,1137
1733265000,18452.5,18458.25,18448.75,18456.0,1029
1733266800,18456.5,18465.0,18455.75,18462.25,1178
1733268600,18462.75,18470.25,18460.0,18468.0,1263
1733270400,18486.25,18495.5,18483.75,18491.0,980
1733272200,18490.75,18495.0,18486.5,18488.25,1162
1733274000,18488.75,18503.5,18480.25,18499.75,3409
1733275800,18499.75,18507.75,18491.5,18497.5,3384
1733277600,18497.25,18501.0,18472.25,18480.0,5021
1733279400,18480.0,18487.0,18466.0,18469.25,4424
1733281200,18469.25,18481.75,18457.25,18477.0,5815
1733283000,18477.75,18478.5,18443.0,18443.75,5688
1733284800,18443.75,18446.0,18415.75,18421.25,6779
1733286600,18421.0,18433.5,18410.25,18425.0,5749
1733288400,18425.0,18426.5,18406.0,18417.5,5107
1733290200,18417.25,18420.0,18360.0,18383.5,11527
1733292000,18383.75,18394.5,18376.0,18389.0,6447
