time,open,high,low,close,volume
1714406400,17908.75,17913.75,17897.25,17905.5,3545
1714420800,17904.75,17920.25,17902.25,17905.0,6934
1714435200,17905.25,17910.75,17870.25,17870.25,21057
1714449600,17871.0,17896.0,17790.5,17827.0,55997
1714464000,17826.5,17895.25,17682.25,17704.5,322616
1714478400,17704.5,17745.25,17473.5,17508.5,253222
1714492800,17462.5,17517.0,17453.75,17514.0,16768
1714507200,17514.0,17529.25,17499.0,17528.0,9500
1714521600,16428.75,16438.75,16390.75,16397.0,26490
1714536000,16397.0,16426.75,16334.25,16399.75,80231
1714550400,16400.5,16577.25,16398.0,16469.25,310502
1714564800,16468.75,16509.75,16403.75,16465.0,184056
1714608000,17691.0,17726.0,17673.75,17683.75,26521
1714622400,17683.75,17739.25,17683.75,17700.25,44363
1714636800,17700.5,17737.25,17554.25,17695.0,318626
1714651200,17695.5,17745.5,17673.5,17702.5,188789
1714665600,17698.5,17721.0,17693.0,17719.5,9622
1714680000,17719.25,17752.0,17716.25,17737.75,13759
1714694400,18191.25,18196.0,18124.5,18128.25,35231
1714708800,18128.75,18182.75,18107.25,18132.5,48411
1714723200,18133.0,18145.0,17907.5,17951.75,408678
1714737600,17952.25,17988.5,17832.5,17983.25,261119
1714752000,17981.0,17985.25,17942.5,17960.25,14672
1714766400,17960.0,17988.0,17957.75,17981.75,11549
1714780800,18112.5,18147.5,18096.75,18138.0,31153
1714795200,18138.75,18190.25,18051.5,18144.75,76932
1714809600,18145.0,18406.5,18102.5,18400.5,388241
1714824000,18400.5,18408.25,18251.25,18311.0,262434
1714924800,18047.5,18063.75,17995.0,18006.0,12010
1714939200,18006.0,18014.5,17989.5,17995.0,6693
1714953600,18757.0,18763.0,18703.0,18755.75,21554
1714968000,18756.0,18828.25,18754.0,18825.75,43742
1714982400,18825.25,19008.0,18800.0,19003.5,283443
1714996800,19003.75,19090.5,18977.25,19087.25,194136
1715011200,19089.5,19108.0,19067.75,19087.25,12243
1715025600,19087.0,19111.25,19075.25,19099.5,12444
1715040000,20422.75,20460.25,20417.5,20429.0,22246
1715054400,20429.25,20496.0,20373.0,20425.75,38645
1715068800,20425.5,20617.0,20411.25,20589.0,311491
1715083200,20589.25,20639.5,20575.75,20591.5,152395
1715126400,17901.25,17990.5,17351.0,17829.75,107675
1715140800,17831.0,17889.5,17362.5,17535.0,103000
1715155200,17534.0,18289.0,17509.25,18040.0,398272
1715169600,18042.25,18170.0,17892.25,18146.75,225092
1715184000,18165.75,18339.75,18162.0,18336.0,26312
1715198400,18334.25,18437.0,18308.0,18333.75,27515
1715212800,18910.75,19002.0,18884.0,18970.5,27291
1715227200,18970.5,18971.5,18827.25,18889.75,51235
1715241600,18890.5,19150.5,18842.0,18932.5,305250
1715256000,18933.0,19040.25,18887.0,18924.75,164006
1715270400,18921.0,18933.75,18834.0,18836.75,12637
1715284800,18837.5,18906.75,18791.0,18895.5,17641
1715385600,20102.5,20167.0,20099.0,20149.75,16806
1715400000,20149.75,20171.25,20112.75,20125.5,22936
1715414400,20125.5,20372.75,20107.5,20351.25,239161
1715428800,20351.5,20385.5,20280.5,20362.75,141643
1715443200,20360.5,20424.75,20323.5,20402.75,26505
1715457600,20400.75,20640.5,20394.25,20583.75,61867
1715472000,21515.0,21520.0,21489.0,21507.0,15617
1715486400,21507.0,21537.75,21500.0,21526.5,23765
1715500800,21527.0,21567.25,21487.75,21560.0,194927
1715515200,21560.25,21560.75,21437.5,21453.25,160510
1715529600,21450.0,21469.75,21424.75,21462.0,11885
1715544000,21463.75,21481.75,21459.0,21477.0,8194
1715558400,18286.25,18300.75,18273.75,18279.0,16017
1715572800,18278.75,18328.75,18276.0,18325.25,24896
1715587200,18325.0,18336.25,18252.25,18294.0,219186
1715601600,18294.0,18301.0,18235.0,18286.0,126616
1715616000,18282.0,18290.0,18273.5,18277.75,6486
1715630400,18277.25,18280.75,18262.75,18270.5,7847
1715644800,18269.75,18308.5,18269.75,18305.75,13316
1715659200,18305.75,18308.75,18165.5,18261.75,56171
1715673600,18261.5,18370.75,18250.5,18317.25,300171
1715688000,18317.25,18433.0,18298.5,18410.5,164489
1715702400,18409.75,18426.5,18399.75,18409.0,8952
1715716800,18408.75,18438.25,18408.25,18411.25,10568
1715731200,18411.0,18418.75,18393.0,18416.5,16083
1715745600,18416.25,18547.75,18393.5,18509.5,71540
1715760000,18510.25,18632.0,18446.75,18630.0,292096
1715774400,18630.25,18707.0,18629.25,18694.5,196974
1715788800,18693.25,18735.25,18687.5,18727.5,13262
1715803200,18727.5,18738.75,18713.0,18724.5,10633
1715817600,18724.75,18734.0,18706.0,18720.0,18951
1715832000,18720.25,18735.0,18686.5,18694.75,35063
1715846400,18695.0,18760.75,18672.0,18733.5,252513
1715860800,18733.75,18741.0,18633.25,18638.25,211645
1715875200,18642.0,18657.75,18638.5,18654.5,8067
1715889600,18654.75,18667.0,18644.5,18658.75,9247
1715904000,18658.5,18674.5,18617.0,18635.0,20973
1715918400,18635.0,18686.75,18634.75,18684.25,27574
1715932800,18684.75,18685.25,18607.75,18640.5,249153
1715947200,18640.75,18643.0,18545.0,18633.75,167291
1716134400,18633.5,18672.75,18633.0,18666.5,8087
1716148800,18665.75,18679.25,18659.0,18671.5,8797
1716163200,18671.5,18678.75,18654.5,18661.25,14571
1716177600,18661.0,18689.5,18643.25,18648.75,25277
1716192000,18649.0,18794.5,18635.25,18791.25,232159
1716206400,18791.25,18793.75,18707.0,18745.25,176473
1716220800,18746.0,18759.5,18742.5,18756.5,5413
1716235200,18756.0,18756.75,18741.0,18753.75,6917
1716249600,18753.5,18763.25,18736.0,18741.75,13061
1716264000,18741.75,18760.0,18715.5,18717.5,30435
1716278400,18718.25,18771.75,18678.0,18747.0,235109
1716292800,18747.0,18808.75,18734.0,18798.75,130639
1716307200,18798.25,18817.0,18795.5,18810.5,5732
1716321600,18810.5,18824.0,18806.5,18809.25,7144
1716336000,18809.5,18820.75,18786.0,18792.75,16701
1716350400,18792.5,18811.5,18755.0,18803.0,36503
1716364800,18802.75,18838.75,18788.75,18803.75,206706
1716379200,18803.5,18891.0,18684.25,18816.25,297647
1716393600,18860.5,18877.0,18843.25,18867.75,12230
1716408000,18868.0,18970.5,18863.25,18963.75,22047
1716422400,18963.25,18965.0,18928.5,18935.25,21807
1716436800,18936.25,19023.25,18929.75,19005.0,41913
1716451200,19005.5,19007.75,18802.0,18843.25,394490
1716465600,18843.5,18859.0,18621.5,18686.5,350845
1716480000,18684.0,18725.0,18680.0,18718.75,9208
1716494400,18718.5,18731.25,18706.75,18713.0,10247
1716508800,18712.75,18745.5,18682.75,18736.0,21844
1716523200,18736.25,18772.75,18722.75,18753.0,36408
1716537600,18752.5,18919.0,18732.5,18885.0,309192
1716552000,18885.25,18926.0,18835.5,18870.75,151244
1716739200,18874.75,18886.5,18833.5,18847.25,8624
1716753600,18847.5,18861.5,18836.5,18861.25,5467
1716768000,18860.75,18889.0,18859.5,18875.0,9742
1716782400,18876.0,18885.0,18866.5,18869.25,8588
1716796800,18869.0,18956.0,18868.0,18950.75,40373
1716825600,18950.5,18954.75,18885.0,18897.75,14838
1716840000,18897.25,18931.75,18893.5,18921.0,10116
1716854400,18921.25,18979.25,18909.25,18977.5,25767
1716868800,18977.25,18980.5,18899.25,18916.5,37100
1716883200,18915.5,18943.75,18839.0,18921.5,245756
1716897600,18921.5,18967.5,18819.5,18950.5,228629
1716912000,18949.5,18949.75,18902.75,18908.75,9486
1716926400,18909.0,18918.0,18874.25,18897.25,13757
