Date,Time,Open,High,Low,Close,Volume
11/01/2024,00:00:00,20081.5,20127.0,20055.25,20096.0,22257
11/01/2024,04:00:00,20096.75,20146.5,20077.0,20113.5,35292
11/01/2024,08:00:00,20113.5,20288.0,20057.5,20210.75,281949
11/01/2024,12:00:00,20211.0,20252.75,20122.75,20170.25,170572
11/03/2024,16:00:00,20138.0,20200.0,20070.5,20191.0,27028
11/03/2024,20:00:00,20191.0,20248.5,20183.75,20230.5,14116
11/04/2024,00:00:00,20230.75,20247.75,20135.25,20166.0,25804
11/04/2024,04:00:00,20165.75,20211.75,20100.75,20147.0,37295
11/04/2024,08:00:00,20147.25,20226.75,20013.0,20128.25,270189
11/04/2024,12:00:00,20128.5,20175.75,20070.0,20114.5,138855
11/04/2024,16:00:00,20130.75,20132.0,20041.75,20100.0,12673
11/04/2024,20:00:00,20099.0,20115.75,20080.5,20103.0,9445
11/05/2024,00:00:00,20102.5,20167.0,20099.0,20149.75,16806
11/05/2024,04:00:00,20149.75,20171.25,20112.75,20125.5,22936
11/05/2024,08:00:00,20125.5,20372.75,20107.5,20351.25,239161
11/05/2024,12:00:00,20351.5,20385.5,20280.5,20362.75,141643
11/05/2024,16:00:00,20360.5,20424.75,20323.5,20402.75,26505
11/05/2024,20:00:00,20400.75,20640.5,20394.25,20583.75,61867
11/06/2024,00:00:00,20585.5,20731.25,20573.75,20727.75,47725
11/06/2024,04:00:00,20727.75,20728.75,20580.0,20687.0,49221
11/06/2024,08:00:00,20686.75,20826.0,20644.0,20817.75,276177
11/06/2024,12:00:00,20817.25,20935.25,20810.25,20922.5,157342
11/06/2024,16:00:00,20923.5,20923.5,20861.5,20912.0,13651
11/06/2024,20:00:00,20911.25,20954.0,20895.5,20949.0,13629
11/07/2024,00:00:00,20949.0,20966.25,20908.25,20940.25,21604
11/07/2024,04:00:00,20941.25,20999.25,20924.0,20986.5,31533
11/07/2024,08:00:00,20985.5,21199.0,20982.75,21194.25,217871
11/07/2024,12:00:00,21194.75,21253.0,21151.25,21225.25,157364
11/07/2024,16:00:00,21224.25,21239.0,21202.5,21232.25,8785
11/07/2024,20:00:00,21231.75,21263.25,21218.5,21251.75,11291
11/08/2024,00:00:00,21251.5,21257.0,21211.25,21225.25,17250
11/08/2024,04:00:00,21225.25,21225.25,21121.75,21162.0,44433
11/08/2024,08:00:00,21162.5,21236.5,21156.25,21217.75,194124
11/08/2024,12:00:00,21217.75,21265.0,21208.0,21226.75,119218
11/10/2024,16:00:00,21249.75,21320.0,21249.0,21283.25,17141
11/10/2024,20:00:00,21282.5,21300.0,21262.5,21288.75,10867
11/11/2024,00:00:00,21289.0,21323.5,21277.0,21292.25,18287
11/11/2024,04:00:00,21292.0,21340.75,21268.0,21300.5,31851
11/11/2024,08:00:00,21301.0,21307.25,21155.25,21158.0,226247
11/11/2024,12:00:00,21157.75,21233.5,21098.25,21210.25,146231
11/11/2024,16:00:00,21221.0,21249.5,21197.5,21230.75,11528
11/11/2024,20:00:00,21230.0,21241.75,21190.0,21195.25,15051
11/12/2024,00:00:00,21195.5,21240.75,21179.5,21184.75,25465
11/12/2024,04:00:00,21184.0,21233.0,21128.5,21221.5,44053
11/12/2024,08:00:00,21221.75,21251.75,21065.25,21066.25,250333
11/12/2024,12:00:00,21066.5,21210.5,21054.75,21178.0,156320
11/12/2024,16:00:00,21178.0,21183.75,21133.5,21140.0,11081
