Date,Time,Open,High,Low,Close,Volume
12/01/2024,17:00:00,20995.25,21004.0,20990.75,20998.0,419
12/01/2024,17:01:00,20999.5,21002.0,20985.25,20988.25,317
12/01/2024,17:02:00,20987.5,20993.0,20984.75,20990.0,143
12/01/2024,17:03:00,20990.0,20993.0,20984.5,20984.5,132
12/01/2024,17:04:00,20985.0,20991.0,20983.25,20989.25,131
12/01/2024,17:05:00,20989.25,20989.5,20973.0,20978.0,304
12/01/2024,17:06:00,20979.25,20984.0,20978.75,20981.75,87
12/01/2024,17:07:00,20980.75,20983.75,20970.75,20972.0,191
12/01/2024,17:08:00,20971.25,20973.0,20962.25,20969.5,315
12/01/2024,17:09:00,20970.25,20974.0,20967.75,20971.5,162
12/01/2024,17:10:00,20971.5,20972.5,20960.25,20963.5,225
12/01/2024,17:11:00,20963.5,20968.0,20961.75,20966.0,90
12/01/2024,17:12:00,20965.75,20973.5,20965.75,20973.5,138
12/01/2024,17:13:00,20972.0,20977.0,20970.0,20976.75,129
12/01/2024,17:14:00,20977.0,20981.0,20976.5,20978.75,132
12/01/2024,17:15:00,20978.5,20985.5,20978.0,20985.0,129
12/01/2024,17:16:00,20984.5,20987.75,20981.0,20983.25,162
12/01/2024,17:17:00,20983.5,20983.75,20978.0,20979.5,69
12/01/2024,17:18:00,20978.75,20980.0,20975.5,20975.75,53
12/01/2024,17:19:00,20975.5,20978.5,20971.5,20972.75,62
12/01/2024,17:20:00,20973.0,20973.25,20969.25,20972.0,60
12/01/2024,17:21:00,20971.5,20973.0,20969.5,20969.5,32
12/01/2024,17:22:00,20969.75,20973.75,20969.25,20973.0,63
12/01/2024,17:23:00,20972.0,20974.0,20971.75,20972.5,25
12/01/2024,17:24:00,20971.0,20974.0,20969.25,20972.25,65
12/01/2024,17:25:00,20973.25,20973.5,20970.5,20972.0,29
12/01/2024,17:26:00,20971.75,20977.0,20971.75,20974.75,69
12/01/2024,17:27:00,20974.25,20974.5,20972.0,20973.5,32
12/01/2024,17:28:00,20973.5,20974.75,20973.0,20974.25,20
12/01/2024,17:29:00,20974.25,20974.5,20971.0,20971.0,28
12/01/2024,17:30:00,20971.5,20972.25,20966.0,20966.25,133
12/01/2024,17:31:00,20966.75,20968.5,20963.75,20968.5,70
12/01/2024,17:32:00,20968.25,20968.25,20964.5,20964.5,70
12/01/2024,17:33:00,20964.0,20965.0,20961.0,20962.0,118
12/01/2024,17:34:00,20963.75,20967.25,20962.75,20967.25,50
12/01/2024,17:35:00,20968.0,20970.0,20965.0,20965.5,85
12/01/2024,17:36:00,20965.0,20965.0,20957.25,20958.5,239
12/01/2024,17:37:00,20957.75,20961.25,20957.75,20960.75,61
12/01/2024,17:38:00,20960.75,20960.75,20954.75,20955.75,132
12/01/2024,17:39:00,20956.0,20958.75,20955.5,20956.5,88
12/01/2024,17:40:00,20957.5,20957.75,20952.5,20957.75,183
12/01/2024,17:41:00,20958.0,20961.5,20958.0,20958.0,84
12/01/2024,17:42:00,20958.25,20958.25,20956.75,20958.0,26
12/01/2024,17:43:00,20958.25,20961.25,20958.0,20959.75,98
12/01/2024,17:44:00,20959.0,20961.25,20958.5,20960.5,39
12/01/2024,17:45:00,20960.75,20965.5,20960.25,20962.25,127
12/01/2024,17:46:00,20962.5,20965.0,20958.25,20959.5,117
12/01/2024,17:47:00,20959.5,20967.75,20958.75,20966.25,134
12/01/2024,17:48:00,20966.5,20969.5,20964.25,20967.0,175
12/01/2024,17:49:00,20967.0,20967.0,20963.75,20967.0,57
12/01/2024,17:50:00,20966.75,20970.5,20966.5,20968.25,104
12/01/2024,17:51:00,20969.25,20971.5,20965.0,20965.75,107
12/01/2024,17:52:00,20965.5,20966.0,20959.25,20960.25,86
12/01/2024,17:53:00,20961.0,20964.0,20961.0,20961.25,37
12/01/2024,17:54:00,20961.0,20964.25,20961.0,20962.25,36
12/01/2024,17:55:00,20962.75,20962.75,20958.75,20960.75,57
12/01/2024,17:56:00,20960.0,20962.0,20959.5,20960.0,18
12/01/2024,17:57:00,20959.25,20962.75,20958.5,20962.75,32
12/01/2024,17:58:00,20962.0,20965.5,20962.0,20963.75,34
12/01/2024,17:59:00,20963.75,20965.75,20963.75,20964.5,31
12/01/2024,18:00:00,20966.0,20973.5,20966.0,20970.5,195
12/01/2024,18:01:00,20970.25,20974.25,20969.25,20974.0,87
12/01/2024,18:02:00,20973.0,20975.0,20970.25,20971.25,77
12/01/2024,18:03:00,20971.75,20977.5,20971.75,20976.5,80
12/01/2024,18:04:00,20977.0,20978.0,20973.5,20975.5,85
12/01/2024,18:05:00,20976.0,20976.25,20973.75,20974.0,37
12/01/2024,18:06:00,20973.75,20981.5,20973.75,20977.75,142
12/01/2024,18:07:00,20978.0,20979.0,20976.0,20978.75,27
12/01/2024,18:08:00,20978.25,20978.75,20976.0,20977.75,30
12/01/2024,18:09:00,20977.75,20981.25,20977.75,20979.75,68
12/01/2024,18:10:00,20980.0,20983.0,20979.0,20982.75,79
12/01/2024,18:11:00,20982.75,20982.75,20974.75,20976.25,164
12/01/2024,18:12:00,20976.25,20976.75,20972.75,20975.0,60
12/01/2024,18:13:00,20974.75,20975.5,20973.0,20974.0,20
12/01/2024,18:14:00,20973.0,20973.5,20968.5,20971.5,78
12/01/2024,18:15:00,20971.0,20971.0,20962.25,20967.0,203
12/01/2024,18:16:00,20966.75,20969.25,20965.25,20966.75,90
12/01/2024,18:17:00,20965.75,20972.0,20964.25,20970.25,103
12/01/2024,18:18:00,20970.0,20974.0,20969.5,20973.0,62
12/01/2024,18:19:00,20972.25,20975.75,20971.25,20972.0,44
12/01/2024,18:20:00,20972.0,20977.25,20970.5,20977.0,67
12/01/2024,18:21:00,20977.25,20980.75,20976.25,20977.75,108
12/01/2024,18:22:00,20977.5,20977.5,20974.0,20975.5,55
12/01/2024,18:23:00,20974.75,20976.5,20974.75,20975.5,26
12/01/2024,18:24:00,20975.75,20978.75,20975.75,20978.75,29
12/01/2024,18:25:00,20978.25,20982.75,20978.25,20980.75,75
12/01/2024,18:26:00,20980.25,20980.75,20977.0,20979.0,51
12/01/2024,18:27:00,20979.5,20980.25,20978.0,20979.25,19
12/01/2024,18:28:00,20978.75,20980.0,20974.25,20974.25,58
12/01/2024,18:29:00,20974.0,20975.0,20970.25,20970.25,89
12/01/2024,18:30:00,20971.25,20972.75,20970.0,20970.5,74
12/01/2024,18:31:00,20970.5,20971.75,20969.0,20971.25,46
12/01/2024,18:32:00,20972.5,20972.5,20969.0,20969.0,19
12/01/2024,18:33:00,20969.25,20970.0,20960.5,20964.5,182
12/01/2024,18:34:00,20964.25,20964.25,20949.0,20951.25,425
12/01/2024,18:35:00,20951.5,20957.25,20947.0,20955.25,197
12/01/2024,18:36:00,20955.0,20955.75,20952.0,20954.0,70
12/01/2024,18:37:00,20953.75,20954.75,20950.5,20953.75,71
12/01/2024,18:38:00,20953.75,20957.0,20953.75,20955.25,56
12/01/2024,18:39:00,20956.0,20956.75,20953.25,20953.75,38
12/01/2024,18:40:00,20953.25,20955.75,20951.0,20953.0,80
12/01/2024,18:41:00,20952.75,20953.5,20950.0,20952.25,81
12/01/2024,18:42:00,20952.25,20954.0,20950.25,20951.25,50
12/01/2024,18:43:00,20951.5,20953.0,20947.25,20947.5,98
12/01/2024,18:44:00,20947.25,20951.0,20946.5,20947.75,78
12/01/2024,18:45:00,20948.75,20950.0,20941.75,20943.75,221
12/01/2024,18:46:00,20942.75,20951.25,20942.75,20947.5,109
12/01/2024,18:47:00,20948.0,20954.0,20947.75,20953.5,122
12/01/2024,18:48:00,20954.25,20955.25,20952.5,20955.0,55
12/01/2024,18:49:00,20954.75,20955.0,20952.75,20953.0,34
12/01/2024,18:50:00,20953.75,20954.75,20949.25,20952.0,123
12/01/2024,18:51:00,20950.25,20951.75,20949.5,20949.5,38
12/01/2024,18:52:00,20950.25,20954.25,20950.0,20952.5,36
12/01/2024,18:53:00,20953.0,20961.25,20953.0,20961.25,200
12/01/2024,18:54:00,20960.5,20962.0,20957.5,20958.75,57
12/01/2024,18:55:00,20960.5,20964.75,20959.25,20962.25,114
12/01/2024,18:56:00,20962.25,20963.5,20958.5,20959.25,56
12/01/2024,18:57:00,20959.0,20961.25,20957.75,20960.25,43
12/01/2024,18:58:00,20959.75,20960.75,20958.75,20958.75,28
12/01/2024,18:59:00,20958.0,20960.25,20955.25,20956.5,55
12/01/2024,19:00:00,20956.75,20956.75,20952.0,20954.75,129
12/01/2024,19:01:00,20955.0,20955.75,20951.75,20954.0,69
12/01/2024,19:02:00,20955.0,20957.0,20951.0,20953.0,76
12/01/2024,19:03:00,20953.5,20956.0,20949.75,20956.0,75
12/01/2024,19:04:00,20956.25,20958.75,20955.0,20955.75,71
12/01/2024,19:05:00,20956.75,20956.75,20953.75,20953.75,38
12/01/2024,19:06:00,20954.5,20955.0,20952.75,20953.0,31
12/01/2024,19:07:00,20952.25,20955.75,20950.75,20955.25,39
12/01/2024,19:08:00,20955.75,20963.0,20955.75,20959.75,126
12/01/2024,19:09:00,20959.25,20963.25,20958.75,20962.0,161
12/01/2024,19:10:00,20962.0,20969.0,20962.0,20969.0,106
12/01/2024,19:11:00,20969.0,20969.25,20965.5,20967.0,73
12/01/2024,19:12:00,20967.0,20970.0,20967.0,20967.75,51
12/01/2024,19:13:00,20967.25,20967.75,20966.5,20966.5,33
12/01/2024,19:14:00,20966.5,20971.0,20966.0,20966.75,63
12/01/2024,19:15:00,20965.75,20966.75,20963.0,20964.25,51
12/01/2024,19:16:00,20964.75,20964.75,20958.5,20959.5,66
